"NAICS codes","NAICS U.S. industry title","Size standards in millions of dollars","Size standards in number of employees"
339991,"Gasket, Packing, and Sealing Device Manufacturing",NULL,500
339992,Musical Instrument Manufacturing,NULL,"1,000"
339993,"Fastener, Button, Needle and Pin Manufacturing",NULL,750
339994,"Broom, Brush and Mop Manufacturing",NULL,500
339995,Burial Casket Manufacturing,NULL,"1,000"
339999,All Other Miscellaneous Manufacturing,NULL,500
423110,"Automobile and Other Motor Vehicle Merchant Wholesalers",NULL,250
423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers",NULL,200
423130,Tire and Tube Merchant Wholesalers,NULL,200
423140,"Motor Vehicle Parts (Used) Merchant Wholesalers",NULL,100
423210,Furniture Merchant Wholesalers,NULL,100
423220,Home Furnishing Merchant Wholesalers,NULL,100
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",NULL,150
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",NULL,150
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",NULL,200
423390,"Other Construction Material Merchant Wholesalers",NULL,100
423410,"Photographic Equipment and Supplies Merchant Wholesalers",NULL,200
423420,Office Equipment Merchant Wholesalers,NULL,200
423430,"Computer and Computer Peripheral Equipment and Software Merchant Wholesalers",NULL,250
423440,"Other Commercial Equipment Merchant Wholesalers",NULL,100
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",NULL,200
423460,Ophthalmic Goods Merchant Wholesalers,NULL,150
423490,"Other Professional Equipment and Supplies Merchant Wholesalers",NULL,150
423510,"Metal Service Centers and Other Metal Merchant Wholesalers",NULL,200
423520,"Coal and Other Mineral and Ore Merchant Wholesalers",NULL,100
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",NULL,200
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",NULL,200
423690,"Other Electronic Parts and Equipment Merchant Wholesalers",NULL,250
423710,Hardware Merchant Wholesalers,NULL,150
423720,"Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers",NULL,200
423730,"Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers",NULL,150
423810,"Construction and Mining (Except Oil Well) Machinery and Equipment Merchant Wholesalers",NULL,250
423820,"Farm and Garden Machinery and Equipment Merchant Wholesalers",NULL,100
423830,"Industrial Machinery and Equipment Merchant Wholesalers",NULL,100
423840,Industrial Supplies Merchant Wholesalers,NULL,100
423850,"Service Establishment Equipment and Supplies Merchant Wholesalers",NULL,100
423860,"Transportation Equipment and Supplies (Except Motor Vehicle) Merchant Wholesalers",NULL,150
423910,"Sporting and Recreational Goods and Supplies Merchant Wholesalers",NULL,100
423920,"Toy and Hobby Goods and Supplies Merchant Wholesalers",NULL,150
423930,Recyclable Material Merchant Wholesalers,NULL,100
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",NULL,100
423990,"Other Miscellaneous Durable Goods Merchant Wholesalers",NULL,100
424110,"Printing and Writing Paper Merchant Wholesalers",NULL,200
424120,"Stationary and Office Supplies Merchant Wholesalers",NULL,150
424130,"Industrial and Personal Service Paper Merchant Wholesalers",NULL,150
424210,"Drugs and Druggists’ Sundries Merchant Wholesalers",NULL,250
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",NULL,100
424320,"Men’s and Boys’ Clothing and Furnishings Merchant Wholesalers",NULL,150
424330,"Women’s, Children’s, and Infants’ Clothing and Accessories Merchant Wholesalers",NULL,100
424340,Footwear Merchant Wholesalers,NULL,200
424410,General Line Grocery Merchant Wholesalers,NULL,250
424420,"Packaged Frozen Food Merchant Wholesalers",NULL,200
424430,"Dairy Product (except Dried or Canned) Merchant Wholesalers",NULL,200
424440,"Poultry and Poultry Product Merchant Wholesalers",NULL,150
424450,Confectionery Merchant Wholesalers,NULL,200
424460,Fish and Seafood Merchant Wholesalers,NULL,100
424470,"Meat and Meat Product Merchant Wholesalers",NULL,150
424480,"Fresh Fruit and Vegetable Merchant Wholesalers",NULL,100
424490,"Other Grocery and Related Products Merchant Wholesalers",NULL,250
424510,Grain and Field Bean Merchant Wholesalers,NULL,200
424520,Livestock Merchant Wholesalers,NULL,100
424590,"Other Farm Product Raw Material Merchant Wholesalers",NULL,100
424610,"Plastics Materials and Basic Forms and Shapes Merchant Wholesalers",NULL,150
424690,"Other Chemical and Allied Products Merchant Wholesalers",NULL,150
424710,Petroleum Bulk Stations and Terminals,NULL,200
424720,"Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)",NULL,200
424810,Beer and Ale Merchant Wholesalers,NULL,200
424820,"Wine and Distilled Alcoholic Beverage Merchant Wholesalers",NULL,250
424910,Farm Supplies Merchant Wholesalers,NULL,200
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",NULL,200
424930,"Flower, Nursery Stock, and Florists’ Supplies Merchant Wholesalers",NULL,100
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",NULL,150
424990,"Other Miscellaneous Nondurable Goods Merchant Wholesalers",NULL,100
425110,Business to Business Electronic Markets,NULL,100
425120,Wholesale Trade Agents and Brokers,NULL,100
441110,New Car Dealers,NULL,200
441120,Used Car Dealers,$27.0,NULL
441210,Recreational Vehicle Dealers,$35.0,NULL
441222,Boat Dealers,$35.0,NULL
441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",$35.0,NULL
441310,Automotive Parts and Accessories Stores,$16.5,NULL
441320,Tire Dealers,$16.5,NULL
442110,Furniture Stores,$22.0,NULL
442210,Floor Covering Stores,$8.0,NULL
442291,Window Treatment Stores,$8.0,NULL
442299,All Other Home Furnishings Stores,$22.0,NULL
443141,Household Appliance Stores,$12.0,NULL
444110,Home Centers,$41.5,NULL
444120,Paint and Wallpaper Stores,$30.0,NULL
444130,Hardware Stores,$8.0,NULL
444190,Other Building Material Dealers,$22.0,NULL
444210,Outdoor Power Equipment Stores,$8.0,NULL
444220,Nursery and Garden Centers,$12.0,NULL
445110,"Supermarkets and Other Grocery (except Convenience) Stores",$35.0,NULL
445120,Convenience Stores,$32.0,NULL
445210,Meat Markets,$8.0,NULL
445220,Fish and Seafood Markets,$8.0,NULL
445230,Fruit and Vegetable Markets,$8.0,NULL
445291,Baked Goods Stores,$8.0,NULL
445292,Confectionery and Nut Stores,$8.0,NULL
445299,All Other Specialty Food Stores,$8.0,NULL
445310,"Beer, Wine and Liquor Stores",$8.0,NULL
446110,Pharmacies and Drug Stores,$30.0,NULL
446120,"Cosmetics, Beauty Supplies and Perfume Stores",$30.0,NULL
446130,Optical Goods Stores,$22.0,NULL
446191,Food (Health) Supplement Stores,$16.5,NULL
446199,All Other Health and Personal Care Stores,$8.0,NULL
447110,Gasoline Stations with Convenience Stores,$32.0,NULL
447190,Other Gasoline Stations,$16.5,NULL
448110,Men’s Clothing Stores,$12.0,NULL
448120,Women’s Clothing Stores,$30.0,NULL
448130,Children’s and Infants’ Clothing Stores,$35.0,NULL
448140,Family Clothing Stores,$41.5,NULL
448150,Clothing Accessories Stores,$16.5,NULL
448190,Other Clothing Stores,$22.0,NULL
448210,Shoe Stores,$30.0,NULL
448310,Jewelry Stores,$16.5,NULL
448320,Luggage and Leather Goods Stores,$30.0,NULL
451110,Sporting Goods Stores,$16.5,NULL
451120,"Hobby, Toy and Game Stores",$30.0,NULL
451130,"Sewing, Needlework and Piece Goods Stores",$30.0,NULL
451211,Book Stores,$30.0,NULL
451212,News Dealers and Newsstands,$8.0,NULL
452210,Department Stores,$35.0,NULL
452311,Warehouse Clubs and Supercenters,$32.0,NULL
452319,All Other General Merchandise Stores,$35.0,NULL
453110,Florists,$8.0,NULL
453210,Office Supplies and Stationery Stores,$35.0,NULL
453220,"Gift, Novelty and Souvenir Stores",$8.0,NULL
453310,Used Merchandise Stores,$8.0,NULL
453910,Pet and Pet Supplies Stores,$22.0,NULL
453920,Art Dealers,$8.0,NULL
453930,Manufactured (Mobile) Home Dealers,$16.5,NULL
453991,Tobacco Stores,$8.0,NULL
453998,"All Other Miscellaneous Store Retailers (except Tobacco Stores)",$8.0,NULL
454110,Electronic Shopping and Mail-Order Houses,$41.5,NULL
454210,Vending Machine Operators,$12.0,NULL
454310,Fuel Dealers,NULL,100
454390,Other Direct Selling Establishments,$8.0,NULL
481111,Scheduled Passenger Air Transportation,NULL,"1,500"
481112,Scheduled Freight Air Transportation,NULL,"1,500"
481211,"Nonscheduled Chartered Passenger Air Transportation",NULL,"1,500"
481212,"Nonscheduled Chartered Freight Air Transportation",NULL,"1,500"
481219,Other Nonscheduled Air Transportation,$16.5,NULL
482111,Line-Haul Railroads,NULL,"1,500"
482112,Short Line Railroads,NULL,"1,500"
483111,Deep Sea Freight Transportation,NULL,500
483112,Deep Sea Passenger Transportation,NULL,"1,500"
483113,"Coastal and Great Lakes Freight Transportation",NULL,750
483114,"Coastal and Great Lakes Passenger Transportation",NULL,500
483211,Inland Water Freight Transportation,NULL,750
483212,Inland Water Passenger Transportation,NULL,500
484110,"General Freight Trucking, Local",$30.0,NULL
484121,"General Freight Trucking, Long-Distance, Truckload",$30.0,NULL
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",$30.0,NULL
484210,Used Household and Office Goods Moving,$30.0,NULL
484220,"Specialized Freight (except Used Goods) Trucking, Local",$30.0,NULL
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",$30.0,NULL
485111,Mixed Mode Transit Systems,$16.5,NULL
485112,Commuter Rail Systems,$16.5,NULL
485113,Bus and Other Motor Vehicle Transit Systems,$16.5,NULL
485119,Other Urban Transit Systems,$16.5,NULL
485210,Interurban and Rural Bus Transportation,$16.5,NULL
485310,Taxi Service,$16.5,NULL
485320,Limousine Service,$16.5,NULL
485410,School and Employee Bus Transportation,$16.5,NULL
485510,Charter Bus Industry,$16.5,NULL
485991,Special Needs Transportation,$16.5,NULL
485999,"All Other Transit and Ground Passenger Transportation",$16.5,NULL
486110,Pipeline Transportation of Crude Oil,NULL,"1,500"
486210,Pipeline Transportation of Natural Gas,$30.0,NULL
486910,"Pipeline Transportation of Refined Petroleum Products",NULL,"1,500"
486990,All Other Pipeline Transportation,$40.5,NULL
487110,"Scenic and Sightseeing Transportation, Land",$8.0,NULL
487210,"Scenic and Sightseeing Transportation, Water",$8.0,NULL
487990,"Scenic and Sightseeing Transportation, Other",$8.0,NULL
488111,Air Traffic Control,$35.0,NULL
488119,Other Airport Operations,$35.0,NULL
488190,"Other Support Activities for Air Transportation",$35.0,NULL
488210,Support Activities for Rail Transportation,$16.5,NULL
488310,Port and Harbor Operations,$41.5,NULL
488320,Marine Cargo Handling,$41.5,NULL
488330,Navigational Services to Shipping,$41.5,NULL
488390,"Other Support Activities for Water Transportation",$41.5,NULL
488410,Motor Vehicle Towing,$8.0,NULL
488490,"Other Support Activities for Road Transportation",$8.0,NULL
488510,Freight Transportation Arrangement,$16.5,NULL
"488510_Except","Non-Vessel Owning Common Carriers and Household Goods Forwarders",$30.0,NULL
488991,Packing and Crating,$30.0,NULL
488999,"All Other Support Activities for Transportation",$8.0,NULL
491110,Postal Service,$8.0,NULL
492110,Couriers and Express Delivery Services,NULL,"1,500"
492210,Local Messengers and Local Delivery,$30.0,NULL
493110,General Warehousing and Storage,$30.0,NULL
493120,Refrigerated Warehousing and Storage,$30.0,NULL
493130,Farm Product Warehousing and Storage,$30.0,NULL
511110,Newspaper Publishers,NULL,"1,000"
511120,Periodical Publishers,NULL,"1,000"
511130,Book Publishers,NULL,"1,000"
511140,Directory and Mailing List Publishers,NULL,"1,250"
511191,Greeting Card Publishers,NULL,"1,500"
511199,All Other Publishers,NULL,500
511210,Software Publishers,$41.5,NULL
512110,Motion Picture and Video Production,$35.0,NULL
512120,Motion Picture and Video Distribution,$34.5,NULL
512131,Motion Picture Theaters (except Drive-Ins),$41.5,NULL
512132,Drive-In Motion Picture Theaters,$8.0,NULL
512191,"Teleproduction and Other Postproduction Services",$34.5,NULL
512199,Other Motion Picture and Video Industries,$22.0,NULL
512230,Music Publishers,NULL,750
512240,Sound Recording Studios,$8.0,NULL
512250,Record Production and Distribution,NULL,250
512290,Other Sound Recording Industries,$12.0,NULL
515111,Radio Networks,$35.0,NULL
515112,Radio Stations,$41.5,NULL
515120,Television Broadcasting,$41.5,NULL
515210,Cable and Other Subscription Programming,$41.5,NULL
517311,Wired Telecommunications Carriers,NULL,"1,500"
517312,"Wireless Telecommunications Carriers (except Satellite)",NULL,"1,500"
517410,Satellite Telecommunications,$35.0,NULL
517911,Telecommunications Resellers,NULL,"1,500"
517919,All Other Telecommunications,$35.0,NULL
518210,"Data Processing, Hosting, and Related Services",$35.0,NULL
519110,News Syndicates,$30.0,NULL
519120,Libraries and Archives,$16.5,NULL
519130,"Internet Publishing and Broadcasting and Web Search Portals",NULL,"1,000"
519190,All Other Information Services,$30.0,NULL
522110,Commercial Banking,"$600 million in assets",NULL
522120,Savings Institutions,"$600 million in assets",NULL
522130,Credit Unions,"$600 million in assets",NULL
522190,Other Depository Credit Intermediation,"$600 million in assets",NULL
522210,Credit Card Issuing,"$600 million in assets",NULL
522220,Sales Financing,$41.5,NULL
522291,Consumer Lending,$41.5,NULL
522292,Real Estate Credit,$41.5,NULL
522293,International Trade Financing,$41.5,NULL
522294,Secondary Market Financing,$41.5,NULL
522298,"All Other Nondepository Credit Intermediation",$41.5,NULL
522310,Mortgage and Nonmortgage Loan Brokers,$8.0,NULL
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",$41.5,NULL
522390,"Other Activities Related to Credit Intermediation",$22.0,NULL
523110,Investment Banking and Securities Dealing,$41.5,NULL
523120,Securities Brokerage,$41.5,NULL
523130,Commodity Contracts Dealing,$41.5,NULL
523140,Commodity Contracts Brokerage,$41.5,NULL
523210,Securities and Commodity Exchanges,$41.5,NULL
523910,Miscellaneous Intermediation,$41.5,NULL
523920,Portfolio Management,$41.5,NULL
523930,Investment Advice,$41.5,NULL
523991,"Trust, Fiduciary and Custody Activities",$41.5,NULL
523999,Miscellaneous Financial Investment Activities,$41.5,NULL
524113,Direct Life Insurance Carriers,$41.5,NULL
524114,Direct Health and Medical Insurance Carriers,$41.5,NULL
524126,"Direct Property and Casualty Insurance Carriers",NULL,"1,500"
524127,Direct Title Insurance Carriers,$41.5,NULL
524128,"Other Direct Insurance (except Life, Health and Medical) Carriers",$41.5,NULL
524130,Reinsurance Carriers,$41.5,NULL
524210,Insurance Agencies and Brokerages,$8.0,NULL
524291,Claims Adjusting,$22.0,NULL
524292,"Third Party Administration of Insurance and Pension Funds",$35.0,NULL
524298,All Other Insurance Related Activities,$16.5,NULL
525110,Pension Funds,$35.0,NULL
525120,Health and Welfare Funds,$35.0,NULL
525190,Other Insurance Funds,$35.0,NULL
525910,Open-End Investment Funds,$35.0,NULL
525920,"Trusts, Estates, and Agency Accounts",$35.0,NULL
525990,Other Financial Vehicles,$35.0,NULL
531110,"Lessors of Residential Buildings and Dwellings",$30.0,NULL
531120,"Lessors of Nonresidential Buildings (except Miniwarehouses)",$30.0,NULL
531130,"Lessors of Miniwarehouses and Self Storage Units",$30.0,NULL
531190,Lessors of Other Real Estate Property,$30.0,NULL
531210,Offices of Real Estate Agents and Brokers,$8.0,NULL
531311,Residential Property Managers,$8.0,NULL
531312,Nonresidential Property Managers,$8.0,NULL
531320,Offices of Real Estate Appraisers,$8.0,NULL
532111,Passenger Car Rental,$41.5,NULL
532112,Passenger Car Leasing,$41.5,NULL
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",$41.5,NULL
532210,Consumer Electronics and Appliances Rental,$41.5,NULL
532281,Formal Wear and Costume Rental,$22.0,NULL
532282,Video Tape and Disc Rental,$30.0,NULL
532283,Home Health Equipment Rental,$35.0,NULL
532284,Recreational Goods Rental,$8.0,NULL
532289,All Other Consumer Goods Rental,$8.0,NULL
532310,General Rental Centers,$8.0,NULL
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",$35.0,NULL
532412,"Construction, Mining and Forestry Machinery and Equipment Rental and Leasing",$35.0,NULL
532420,"Office Machinery and Equipment Rental and Leasing",$35.0,NULL
532490,"Other Commercial and Industrial Machinery and Equipment Rental and Leasing",$35.0,NULL
533110,"Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)",$41.5,NULL
541110,Offices of Lawyers,$12.0,NULL
541191,Title Abstract and Settlement Offices,$12.0,NULL
541199,All Other Legal Services,$12.0,NULL
541211,Offices of Certified Public Accountants,$22.0,NULL
541213,Tax Preparation Services,$22.0,NULL
541214,Payroll Services,$22.0,NULL
541219,Other Accounting Services,$22.0,NULL
541310,Architectural Services,$8.0,NULL
541320,Landscape Architectural Services,$8.0,NULL
541330,Engineering Services,$16.5,NULL
"541330_Except","Military and Aerospace Equipment and Military Weapons",$41.5,NULL
"541330_Except","Contracts and Subcontracts for Engineering Services Awarded Under the National Energy Policy Act of 1992",$41.5,NULL
"541330_Except",Marine Engineering and Naval Architecture,$41.5,NULL
541340,Drafting Services,$8.0,NULL
541350,Building Inspection Services,$8.0,NULL
541360,Geophysical Surveying and Mapping Services,$16.5,NULL
541370,"Surveying and Mapping (except Geophysical) Services",$16.5,NULL
541380,Testing Laboratories,$16.5,NULL
541410,Interior Design Services,$8.0,NULL
541420,Industrial Design Services,$8.0,NULL
541430,Graphic Design Services,$8.0,NULL
541490,Other Specialized Design Services,$8.0,NULL
541511,Custom Computer Programming Services,$30.0,NULL
541512,Computer Systems Design Services,$30.0,NULL
541513,Computer Facilities Management Services,$30.0,NULL
541519,Other Computer Related Services,$30.0,NULL
"541519_Except","Information Technology Value Added Resellers",NULL,150
541611,"Administrative Management and General Management Consulting Services",$16.5,NULL
541612,Human Resources Consulting Services,$16.5,NULL
541613,Marketing Consulting Services,$16.5,NULL
541614,"Process, Physical Distribution and Logistics Consulting Services",$16.5,NULL
541618,Other Management Consulting Services,$16.5,NULL
541620,Environmental Consulting Services,$16.5,NULL
541690,"Other Scientific and Technical Consulting Services",$16.5,NULL
541713,"Research and Technology in Nanotechnology",NULL,"1,000"
541714,"Research and Technology in Biotechnology (except Nanobiotechnology)",NULL,"1,000"
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",NULL,"1,000"
"541715_Except","Aircraft, Aircraft Engine and Engine Parts",NULL,"1,500"
"541715_Except","Other Aircraft Parts and Auxiliary Equipment",NULL,"1,250"
"541715_Except","Guided Missiles and Space Vehicles, Their Propulsion Units and Propulsion Parts",NULL,"1,250"
541720,"Research and Development in the Social Sciences and Humanities",$22.0,NULL
541810,Advertising Agencies,$16.5,NULL
541820,Public Relations Agencies,$16.5,NULL
541830,Media Buying Agencies,$16.5,NULL
541840,Media Representatives,$16.5,NULL
541850,Outdoor Advertising,$16.5,NULL
541860,Direct Mail Advertising,$16.5,NULL
541870,Advertising Material Distribution Services,$16.5,NULL
541890,Other Services Related to Advertising,$16.5,NULL
541910,"Marketing Research and Public Opinion Polling",$16.5,NULL
541921,"Photography Studios, Portrait",$8.0,NULL
541922,Commercial Photography,$8.0,NULL
541930,Translation and Interpretation Services,$8.0,NULL
541940,Veterinary Services,$8.0,NULL
541990,"All Other Professional, Scientific and Technical Services",$16.5,NULL
551111,Offices of Bank Holding Companies,$22.0,NULL
551112,Offices of Other Holding Companies,$22.0,NULL
561110,Office Administrative Services,$8.0,NULL
561210,Facilities Support Services,$41.5,NULL
561311,Employment Placement Agencies,$30.0,NULL
561312,Executive Search Services,$30.0,NULL
561320,Temporary Help Services,$30.0,NULL
561330,Professional Employer Organizations,$30.0,NULL
561410,Document Preparation Services,$16.5,NULL
561421,Telephone Answering Services,$16.5,NULL
561422,Telemarketing Bureaus and Other contact,$16.5,NULL
561431,Private Mail Centers,$16.5,NULL
561439,Other Business Service Centers (including Copy Shops),$16.5,NULL
561440,Collection Agencies,$16.5,NULL
561450,Credit Bureaus,$16.5,NULL
561491,Repossession Services,$16.5,NULL
561492,Court Reporting and Stenotype Services,$16.5,NULL
561499,All Other Business Support Services,$16.5,NULL
561510,Travel Agencies,$22.0,NULL
561520,Tour Operators,$22.0,NULL
561591,Convention and Visitors Bureaus,$22.0,NULL
561599,All Other Travel Arrangement and Reservation Services,$22.0,NULL
561611,Investigation Services,$22.0,NULL
561612,Security Guards and Patrol Services,$22.0,NULL
561613,Armored Car Services,$22.0,NULL
561621,"Security Systems Services (except Locksmiths)",$22.0,NULL
561622,Locksmiths,$22.0,NULL
561710,Exterminating and Pest Control Services,$12.0,NULL
561720,Janitorial Services,$19.5,NULL
561730,Landscaping Services,$8.0,NULL
561740,Carpet and Upholstery Cleaning Services,$6.0,NULL
561790,Other Services to Buildings and Dwellings,$8.0,NULL
561910,Packaging and Labeling Services,$12.0,NULL
561920,Convention and Trade Show Organizers,$12.0,NULL
561990,All Other Support Services,$12.0,NULL
562111,Solid Waste Collection,$41.5,NULL
562112,Hazardous Waste Collection,$41.5,NULL
562119,Other Waste Collection,$41.5,NULL
562211,Hazardous Waste Treatment and Disposal,$41.5,NULL
562212,Solid Waste Landfill,$41.5,NULL
562213,Solid Waste Combustors and Incinerators,$41.5,NULL
562219,"Other Nonhazardous Waste Treatment and Disposal",$41.5,NULL
562910,Remediation Services,$22.0,NULL
"562910_Except",Environmental Remediation Services,NULL,750
562920,Materials Recovery Facilities,$22.0,NULL
562991,Septic Tank and Related Services,$8.0,NULL
611110,Elementary and Secondary Schools,$12.0,NULL
611310,"Colleges, Universities and Professional Schools",$30.0,NULL
611410,Business and Secretarial Schools,$8.0,NULL
611420,Computer Training,$12.0,NULL
611430,"Professional and Management Development Training",$12.0,NULL
611511,Cosmetology and Barber Schools,$8.0,NULL
611512,Flight Training,$30.0,NULL
611513,Apprenticeship Training,$8.0,NULL
611519,Other Technical and Trade Schools,$16.5,NULL
"611519_Except",Job Corps Centers,$41.5,NULL
611610,Fine Arts Schools,$8.0,NULL
611620,Sports and Recreation Instruction,$8.0,NULL
611630,Language Schools,$12.0,NULL
611691,Exam Preparation and Tutoring,$8.0,NULL
611692,Automobile Driving Schools,$8.0,NULL
611699,"All Other Miscellaneous Schools and Instruction",$12.0,NULL
611710,Educational Support Services,$16.5,NULL
621111,"Offices of Physicians (except Mental Health Specialists)",$12.0,NULL
621112,"Offices of Physicians, Mental Health Specialists",$12.0,NULL
621210,Offices of Dentists,$8.0,NULL
621310,Offices of Chiropractors,$8.0,NULL
621320,Offices of Optometrists,$8.0,NULL
621330,"Offices of Mental Health Practitioners (except Physicians)",$8.0,NULL
621340,"Offices of Physical, Occupational and Speech Therapists and Audiologists",$8.0,NULL
621391,Offices of Podiatrists,$8.0,NULL
621399,"Offices of All Other Miscellaneous Health Practitioners",$8.0,NULL
621410,Family Planning Centers,$12.0,NULL
621420,"Outpatient Mental Health and Substance Abuse Centers",$16.5,NULL
621491,HMO Medical Centers,$35.0,NULL
621492,Kidney Dialysis Centers,$41.5,NULL
621493,"Freestanding Ambulatory Surgical and Emergency Centers",$16.5,NULL
621498,All Other Outpatient Care Centers,$22.0,NULL
621511,Medical Laboratories,$35.0,NULL
621512,Diagnostic Imaging Centers,$16.5,NULL
621610,Home Health Care Services,$16.5,NULL
621910,Ambulance Services,$16.5,NULL
621991,Blood and Organ Banks,$35.0,NULL
621999,"All Other Miscellaneous Ambulatory Health Care Services",$16.5,NULL
622110,General Medical and Surgical Hospitals,$41.5,NULL
622210,Psychiatric and Substance Abuse Hospitals,$41.5,NULL
622310,"Specialty (except Psychiatric and Substance Abuse) Hospitals",$41.5,NULL
623110,"Nursing Care Facilities (Skilled Nursing Facilities)",$30.0,NULL
623210,"Residential Intellectual and Developmental Disability Facilities",$16.5,NULL
623220,"Residential Mental Health and Substance Abuse Facilities",$16.5,NULL
623311,Continuing Care Retirement Communities,$30.0,NULL
623312,Assisted Living Facilities for the Elderly,$12.0,NULL
623990,Other Residential Care Facilities,$12.0,NULL
624110,Child and Youth Services,$12.0,NULL
624120,"Services for the Elderly and Persons with Disabilities",$12.0,NULL
624210,Community Food Services,$12.0,NULL
624221,Temporary Shelters,$12.0,NULL
624229,Other Community Housing Services,$16.5,NULL
624230,Emergency and Other Relief Services,$35.0,NULL
624310,Vocational Rehabilitation Services,$12.0,NULL
624410,Child Day Care Services,$8.0,NULL
711110,Theater Companies and Dinner Theaters,$22.0,NULL
711120,Dance Companies,$12.0,NULL
711130,Musical Groups and Artists,$12.0,NULL
711190,Other Performing Arts Companies,$30.0,NULL
711211,Sports Teams and Clubs,$41.5,NULL
711212,Race Tracks,$41.5,NULL
711219,Other Spectator Sports,$12.0,NULL
711310,"Promoters of Performing Arts, Sports and Similar Events with Facilities",$35.0,NULL
711320,"Promoters of Performing Arts, Sports and Similar Events without Facilities",$16.5,NULL
711410,"Agents and Managers for Artists, Athletes, Entertainers and Other Public Figures",$12.0,NULL
711510,"Independent Artists, Writers, and Performers",$8.0,NULL
712110,Museums,$30.0,NULL
712120,Historical Sites,$8.0,NULL
712130,Zoos and Botanical Gardens,$30.0,NULL
712190,Nature Parks and Other Similar Institutions,$8.0,NULL
713110,Amusement and Theme Parks,$41.5,NULL
713120,Amusement Arcades,$8.0,NULL
713210,Casinos (except Casino Hotels),$30.0,NULL
713290,Other Gambling Industries,$35.0,NULL
713910,Golf Courses and Country Clubs,$16.5,NULL
713920,Skiing Facilities,$30.0,NULL
713930,Marinas,$8.0,NULL
713940,Fitness and Recreational Sports Centers,$8.0,NULL
713950,Bowling Centers,$8.0,NULL
713990,"All Other Amusement and Recreation Industries",$8.0,NULL
721110,Hotels (except Casino Hotels) and Motels,$35.0,NULL
721120,Casino Hotels,$35.0,NULL
721191,Bed-and-Breakfast Inns,$8.0,NULL
721199,All Other Traveler Accommodation,$8.0,NULL
721211,"RV (Recreational Vehicle) Parks and Campgrounds",$8.0,NULL
721214,"Recreational and Vacation Camps (except Campgrounds)",$8.0,NULL
721310,"Rooming and Boarding Houses, Dormitories, and Workers’ Camps",$8.0,NULL
722310,Food Service Contractors,$41.5,NULL
722320,Caterers,$8.0,NULL
722330,Mobile Food Services,$8.0,NULL
722410,Drinking Places (Alcoholic Beverages),$8.0,NULL
722511,Full-Service Restaurants,$8.0,NULL
722513,Limited-Service Restaurants,$12.0,NULL
722514,"Cafeterias, Grill Buffets, and Buffets",$30.0,NULL
722515,Snack and Nonalcoholic Beverage Bars,$8.0,NULL
811111,General Automotive Repair,$8.0,NULL
811112,Automotive Exhaust System Repair,$8.0,NULL
811113,Automotive Transmission Repair,$8.0,NULL
811118,"Other Automotive Mechanical and Electrical Repair and Maintenance",$8.0,NULL
811121,"Automotive Body, Paint and Interior Repair and Maintenance",$8.0,NULL
811122,Automotive Glass Replacement Shops,$12.0,NULL
811191,"Automotive Oil Change and Lubrication Shops",$8.0,NULL
811192,Car Washes,$8.0,NULL
811198,"All Other Automotive Repair and Maintenance",$8.0,NULL
811211,"Consumer Electronics Repair and Maintenance",$8.0,NULL
811212,"Computer and Office Machine Repair and Maintenance",$30.0,NULL
811213,"Communication Equipment Repair and Maintenance",$12.0,NULL
811219,"Other Electronic and Precision Equipment Repair and Maintenance",$22.0,NULL
811310,"Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance",$8.0,NULL
811411,"Home and Garden Equipment Repair and Maintenance",$8.0,NULL
811412,Appliance Repair and Maintenance,$16.5,NULL
811420,Reupholstery and Furniture Repair,$8.0,NULL
811430,Footwear and Leather Goods Repair,$8.0,NULL
811490,"Other Personal and Household Goods Repair and Maintenance",$8.0,NULL
812111,Barber Shops,$8.0,NULL
812112,Beauty Salons,$8.0,NULL
812113,Nail Salons,$8.0,NULL
812191,Diet and Weight Reducing Centers,$22.0,NULL
812199,Other Personal Care Services,$8.0,NULL
